Time,total_freq,BMW,DATSUN,FORD,HONDA,JAGUAR,MARUTI,NISSAN,TATA,TOYOTA
06-02-2016 23:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 23:35,2,0,0,0,0,0,0,0,0,0
06-02-2016 23:40,4,0,0,0,0,0,0,0,0,0
06-02-2016 23:45,3,0,0,0,0,0,0,0,2,0
06-02-2016 23:50,1,0,0,0,0,0,0,0,0,0
06-02-2016 23:55,1,0,0,0,1,0,0,0,0,0
07-02-2016 00:00,9,0,0,0,9,0,0,0,0,1
07-02-2016 00:05,7,0,0,0,3,0,0,0,0,0
07-02-2016 00:10,3,0,0,0,1,0,1,0,0,0
07-02-2016 00:15,9,0,0,0,15,0,0,0,0,0
07-02-2016 00:20,10,1,0,0,16,0,0,0,0,0
07-02-2016 00:25,5,0,0,0,0,0,0,0,0,0
07-02-2016 00:30,27,1,0,0,18,0,1,0,0,2
07-02-2016 00:35,4,0,0,0,0,0,1,0,0,0
07-02-2016 00:40,6,0,0,0,0,1,1,0,0,0
07-02-2016 00:45,9,0,0,0,15,0,0,0,0,0
07-02-2016 00:50,6,0,0,0,9,0,1,0,0,0
07-02-2016 00:55,6,1,0,0,0,1,0,0,2,1
07-02-2016 01:00,29,22,0,0,0,0,0,0,0,0
07-02-2016 01:05,8,0,3,0,1,0,0,0,0,0
07-02-2016 01:10,5,3,0,0,0,0,1,0,0,0
07-02-2016 01:15,3,0,0,0,0,0,0,0,0,0
07-02-2016 01:20,8,0,0,0,0,0,0,0,0,0
07-02-2016 01:25,5,1,0,0,0,0,0,0,0,0
